datetime,rain_mm_10min
2026-09-14 00:00,0.0
2026-09-14 00:10,0.0
2026-09-14 00:20,0.0
2026-09-14 00:30,0.0
2026-09-14 00:40,0.0
2026-09-14 00:50,0.0
2026-09-14 01:00,0.0
2026-09-14 01:10,0.0
2026-09-14 01:20,0.0
2026-09-14 01:30,0.0
2026-09-14 01:40,0.0
2026-09-14 01:50,0.0
2026-09-14 02:00,0.0
2026-09-14 02:10,0.0
2026-09-14 02:20,0.0
2026-09-14 02:30,0.0
2026-09-14 02:40,0.0
2026-09-14 02:50,0.0
2026-09-14 03:00,0.0
2026-09-14 03:10,0.0
2026-09-14 03:20,0.0
2026-09-14 03:30,0.0
2026-09-14 03:40,0.0
2026-09-14 03:50,0.0
2026-09-14 04:00,0.0
2026-09-14 04:10,0.0
2026-09-14 04:20,0.0
2026-09-14 04:30,0.0
2026-09-14 04:40,0.0
2026-09-14 04:50,0.0
2026-09-14 05:00,0.0
2026-09-14 05:10,0.0
2026-09-14 05:20,0.0
2026-09-14 05:30,1.0
2026-09-14 05:40,0.0
2026-09-14 05:50,0.0
2026-09-14 06:00,0.0
2026-09-14 06:10,0.0
2026-09-14 06:20,0.0
2026-09-14 06:30,0.0
2026-09-14 06:40,0.0
2026-09-14 06:50,0.0
