datetime,rain_mm_10min
2026-09-07 00:00,0.0
2026-09-07 00:10,0.0
2026-09-07 00:20,0.0
2026-09-07 00:30,0.0
2026-09-07 00:40,0.0
2026-09-07 00:50,1.0
2026-09-07 01:00,0.0
2026-09-07 01:10,0.0
2026-09-07 01:20,0.0
2026-09-07 01:30,0.0
2026-09-07 01:40,0.0
2026-09-07 01:50,0.0
2026-09-07 02:00,0.0
2026-09-07 02:10,1.0
2026-09-07 02:20,0.0
2026-09-07 02:30,0.0
2026-09-07 02:40,0.0
2026-09-07 02:50,0.0
2026-09-07 03:00,0.0
2026-09-07 03:10,0.0
2026-09-07 03:20,0.0
2026-09-07 03:30,0.0
2026-09-07 03:40,0.0
2026-09-07 03:50,0.0
2026-09-07 04:00,0.0
2026-09-07 04:10,1.0
2026-09-07 04:20,0.0
2026-09-07 04:30,0.0
2026-09-07 04:40,1.0
2026-09-07 04:50,0.0
2026-09-07 05:00,0.0
2026-09-07 05:10,1.0
2026-09-07 05:20,1.0
2026-09-07 05:30,1.0
2026-09-07 05:40,1.0
2026-09-07 05:50,0.0
2026-09-07 06:00,0.0
2026-09-07 06:10,1.0
2026-09-07 06:20,0.0
2026-09-07 06:30,1.0
2026-09-07 06:40,0.0
2026-09-07 06:50,0.0
2026-09-07 07:00,1.0
2026-09-07 07:10,0.0
2026-09-07 07:20,0.0
2026-09-07 07:30,0.0
2026-09-07 07:40,0.0
2026-09-07 07:50,0.0
2026-09-07 08:00,0.0
2026-09-07 08:10,0.0
2026-09-07 08:20,0.0
2026-09-07 08:30,0.0
2026-09-07 08:40,0.0
2026-09-07 08:50,0.0
2026-09-07 09:00,0.0
2026-09-07 09:10,0.0
2026-09-07 09:20,0.0
2026-09-07 09:30,0.0
2026-09-07 09:40,0.0
2026-09-07 09:50,0.0
2026-09-07 10:00,0.0
2026-09-07 10:10,0.0
2026-09-07 10:20,0.0
2026-09-07 10:30,0.0
2026-09-07 10:40,0.0
2026-09-07 10:50,0.0
2026-09-07 11:00,0.0
